,index,id,imdb_id,title,type,genres,production_countries,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
6760,6760,tm189836,tt0069897,Coffy,MOVIE,thriller,US,1973.0,90.0,6.799999999999999,11229.0,7.395,6.799999999999999
6761,6761,tm189865,tt0118983,Dil To Pagal Hai,MOVIE,comedy,IN,1997.0,179.0,7.0,22245.0,6.618,6.9
6762,6762,tm189865,tt0118983,Dil To Pagal Hai,MOVIE,drama,IN,1997.0,179.0,7.0,22245.0,6.618,6.9
6763,6763,tm189865,tt0118983,Dil To Pagal Hai,MOVIE,romance,IN,1997.0,179.0,7.0,22245.0,6.618,6.9
6764,6764,tm18988,tt0046829,Carnival Story,MOVIE,drama,DE,1954.0,95.0,5.7,597.0,1.753,4.6
6765,6765,tm18988,tt0046829,Carnival Story,MOVIE,drama,US,1954.0,95.0,5.7,597.0,1.753,4.6
6766,6766,tm189903,tt0070016,Charlotte's Web,MOVIE,animation,US,1973.0,97.0,6.9,20402.0,11.073,6.7
6767,6767,tm189903,tt0070016,Charlotte's Web,MOVIE,comedy,US,1973.0,97.0,6.9,20402.0,11.073,6.7
6768,6768,tm189903,tt0070016,Charlotte's Web,MOVIE,drama,US,1973.0,97.0,6.9,20402.0,11.073,6.7
6769,6769,tm189903,tt0070016,Charlotte's Web,MOVIE,family,US,1973.0,97.0,6.9,20402.0,11.073,6.7
6770,6770,tm189920,tt0106453,Body of Evidence,MOVIE,drama,DE,1993.0,101.0,4.5,15143.0,11.833,4.8
6771,6771,tm189920,tt0106453,Body of Evidence,MOVIE,drama,US,1993.0,101.0,4.5,15143.0,11.833,4.8
6772,6772,tm189920,tt0106453,Body of Evidence,MOVIE,european,DE,1993.0,101.0,4.5,15143.0,11.833,4.8
6773,6773,tm189920,tt0106453,Body of Evidence,MOVIE,european,US,1993.0,101.0,4.5,15143.0,11.833,4.8
6774,6774,tm189920,tt0106453,Body of Evidence,MOVIE,romance,DE,1993.0,101.0,4.5,15143.0,11.833,4.8
6775,6775,tm189920,tt0106453,Body of Evidence,MOVIE,romance,US,1993.0,101.0,4.5,15143.0,11.833,4.8
6776,6776,tm189920,tt0106453,Body of Evidence,MOVIE,thriller,DE,1993.0,101.0,4.5,15143.0,11.833,4.8
6777,6777,tm189920,tt0106453,Body of Evidence,MOVIE,thriller,US,1993.0,101.0,4.5,15143.0,11.833,4.8
6778,6778,tm189962,tt0069024,Nothing But the Night,MOVIE,crime,GB,1973.0,90.0,5.5,1788.0,3.59,6.1
6779,6779,tm189962,tt0069024,Nothing But the Night,MOVIE,horror,GB,1973.0,90.0,5.5,1788.0,3.59,6.1
6780,6780,tm189962,tt0069024,Nothing But the Night,MOVIE,thriller,GB,1973.0,90.0,5.5,1788.0,3.59,6.1
6781,6781,tm190015,tt0120390,Turbulence,MOVIE,action,US,1997.0,100.0,4.9,11513.0,12.115,5.4
6782,6782,tm190015,tt0120390,Turbulence,MOVIE,thriller,US,1997.0,100.0,4.9,11513.0,12.115,5.4
6783,6783,tm190058,tt0134584,Cold Enough for Snow,MOVIE,comedy,GB,1997.0,91.0,7.3,65.0,1.469,6.3
6784,6784,tm190058,tt0134584,Cold Enough for Snow,MOVIE,drama,GB,1997.0,91.0,7.3,65.0,1.469,6.3
6785,6785,tm19006,tt0077303,Casey's Shadow,MOVIE,drama,US,1978.0,117.0,6.1,635.0,1.821,6.6
6786,6786,tm19006,tt0077303,Casey's Shadow,MOVIE,family,US,1978.0,117.0,6.1,635.0,1.821,6.6
6787,6787,tm19006,tt0077303,Casey's Shadow,MOVIE,sport,US,1978.0,117.0,6.1,635.0,1.821,6.6
